레슨,일차,영단어,뜻,예문
01. 학교와 관계 (School & Relationships),Day 1,Grade,"학년, 성적",I am in the seventh grade.
01. 학교와 관계 (School & Relationships),Day 1,Subject,"과목, 주제",Math is my favorite subject.
01. 학교와 관계 (School & Relationships),Day 1,Teacher,선생님,Our English teacher is very kind.
01. 학교와 관계 (School & Relationships),Day 1,School,학교,I go to school by bus.
01. 학교와 관계 (School & Relationships),Day 1,Class,"수업, 반",We have a science class now.
01. 학교와 관계 (School & Relationships),Day 1,Desk,책상,Put your books on the desk.
01. 학교와 관계 (School & Relationships),Day 1,Chair,의자,Please sit on the chair.
01. 학교와 관계 (School & Relationships),Day 1,Express,표현하다,It is important to express your feelings.
01. 학교와 관계 (School & Relationships),Day 1,Opinion,의견,What is your opinion about this book?
01. 학교와 관계 (School & Relationships),Day 1,Respect,존중하다,We should respect our parents.
01. 학교와 관계 (School & Relationships),Day 2,Uniform,교복,I like my new school uniform.
01. 학교와 관계 (School & Relationships),Day 2,Library,도서관,I study at the library after school.
01. 학교와 관계 (School & Relationships),Day 2,Principal,교장선생님,The principal made a speech today.
01. 학교와 관계 (School & Relationships),Day 2,Board,칠판,Look at the green board.
01. 학교와 관계 (School & Relationships),Day 2,Paper,종이,Write your name on a piece of paper.
01. 학교와 관계 (School & Relationships),Day 2,Pencil,연필,Can I borrow your pencil?
01. 학교와 관계 (School & Relationships),Day 2,Eraser,지우개,I need an eraser to fix this.
01. 학교와 관계 (School & Relationships),Day 2,Relationship,관계,I have a good relationship with my sister.
01. 학교와 관계 (School & Relationships),Day 2,Advice,조언,Thanks for your helpful advice.
01. 학교와 관계 (School & Relationships),Day 2,Honest,정직한,"To be honest, I didn't do my homework."
01. 학교와 관계 (School & Relationships),Day 3,Practice,연습하다,I practice the piano every day.
01. 학교와 관계 (School & Relationships),Day 3,Homework,숙제,Don't forget to do your homework.
01. 학교와 관계 (School & Relationships),Day 3,Test,시험,I have a math test tomorrow.
01. 학교와 관계 (School & Relationships),Day 3,Learn,배우다,I want to learn how to cook.
01. 학교와 관계 (School & Relationships),Day 3,Study,공부하다,We study English together.
01. 학교와 관계 (School & Relationships),Day 3,Book,책,This book is very interesting.
01. 학교와 관계 (School & Relationships),Day 3,Notebook,공책,I wrote the notes in my notebook.
01. 학교와 관계 (School & Relationships),Day 3,Improve,향상시키다,I want to improve my English skills.
01. 학교와 관계 (School & Relationships),Day 3,Challenge,도전,Learning a new language is a great challenge.
01. 학교와 관계 (School & Relationships),Day 3,Goal,목표,My goal is to read 10 books this month.
01. 학교와 관계 (School & Relationships),Day 4,Club,동아리,I joined the soccer club.
01. 학교와 관계 (School & Relationships),Day 4,Member,회원,He is a member of the school band.
01. 학교와 관계 (School & Relationships),Day 4,Join,가입하다,Would you like to join us?
01. 학교와 관계 (School & Relationships),Day 4,Science,과학,We learn about plants in science.
01. 학교와 관계 (School & Relationships),Day 4,Math,수학,Math is hard but fun.
01. 학교와 관계 (School & Relationships),Day 4,History,역사,I am reading a book about Korean history.
01. 학교와 관계 (School & Relationships),Day 4,Art,미술,We draw pictures in art class.
01. 학교와 관계 (School & Relationships),Day 4,Volunteer,자원봉사자,I work as a volunteer at the library.
01. 학교와 관계 (School & Relationships),Day 4,Community,공동체,We should help our local community.
01. 학교와 관계 (School & Relationships),Day 4,Activity,활동,Painting is a fun activity.
01. 학교와 관계 (School & Relationships),Day 5,Ground,운동장,Students are running on the playground.
01. 학교와 관계 (School & Relationships),Day 5,Gym,체육관,We play basketball in the gym.
01. 학교와 관계 (School & Relationships),Day 5,Lunch,점심,What did you eat for lunch?
01. 학교와 관계 (School & Relationships),Day 5,Break,쉬는시간,Let's talk during the break.
01. 학교와 관계 (School & Relationships),Day 5,Meet,만나다,I will meet my friends at the park.
01. 학교와 관계 (School & Relationships),Day 5,Talk,말하다,Can we talk for a moment?
01. 학교와 관계 (School & Relationships),Day 5,Smile,웃다,She has a beautiful smile.
01. 학교와 관계 (School & Relationships),Day 5,International,국제적인,This is an international airport.
01. 학교와 관계 (School & Relationships),Day 5,Global,지구의,We are facing a global warming problem.
01. 학교와 관계 (School & Relationships),Day 5,Tradition,전통,It is a Korean tradition to eat rice cakes.
01. 학교와 관계 (School & Relationships),Day 6,take care of,~을 돌보다,I take care of my younger sister.
01. 학교와 관계 (School & Relationships),Day 6,get along with,~와 잘 지내다,I want to get along with my classmates.
01. 학교와 관계 (School & Relationships),Day 6,be late for,~에 늦다,Don't be late for school.
01. 학교와 관계 (School & Relationships),Day 6,say hello to,~에게 안부를 전하다,Say hello to your parents for me.
01. 학교와 관계 (School & Relationships),Day 6,make friends,친구를 사귀다,It's easy to make friends in the club.
01. 학교와 관계 (School & Relationships),Day 6,stand up,일어서다,Please stand up when you hear your name.
01. 학교와 관계 (School & Relationships),Day 6,sit down,앉다,Please sit down and open your books.
01. 학교와 관계 (School & Relationships),Day 6,listen to,~을 듣다,Listen to the teacher carefully.
01. 학교와 관계 (School & Relationships),Day 6,write down,"적다, 기록하다",Write down the homework in your notebook.
01. 학교와 관계 (School & Relationships),Day 6,pay attention,주의를 기울이다,Please pay attention to the screen.
02. 감정과 특징 (Emotions & Traits),Day 1,Happy,행복한,I am so happy to see you.
02. 감정과 특징 (Emotions & Traits),Day 1,Sad,슬픈,Don't be sad about the news.
02. 감정과 특징 (Emotions & Traits),Day 1,Angry,화난,He was angry with me yesterday.
02. 감정과 특징 (Emotions & Traits),Day 1,Tired,피곤한,I am tired after the long walk.
02. 감정과 특징 (Emotions & Traits),Day 1,Sleepy,졸린,I feel sleepy during the math class.
02. 감정과 특징 (Emotions & Traits),Day 1,Hungry,배고픈,Are you hungry? Let's eat something.
02. 감정과 특징 (Emotions & Traits),Day 1,Thirsty,목마른,I am thirsty. Can I have some water?
02. 감정과 특징 (Emotions & Traits),Day 1,Nervous,긴장한,I feel nervous before the test.
02. 감정과 특징 (Emotions & Traits),Day 1,Excited,신이 난,I am so excited about the trip.
02. 감정과 특징 (Emotions & Traits),Day 1,Brave,용감한,He was brave enough to save the cat.
02. 감정과 특징 (Emotions & Traits),Day 2,Kind,친절한,She is a very kind person.
02. 감정과 특징 (Emotions & Traits),Day 2,Nice,좋은,It's a nice day for a picnic.
02. 감정과 특징 (Emotions & Traits),Day 2,Sweet,다정한,That is a sweet thing to say.
02. 감정과 특징 (Emotions & Traits),Day 2,Friendly,우호적인,My neighbors are very friendly.
02. 감정과 특징 (Emotions & Traits),Day 2,Funny,웃긴,He tells very funny jokes.
02. 감정과 특징 (Emotions & Traits),Day 2,Small,작은,I have a small dog at home.
02. 감정과 특징 (Emotions & Traits),Day 2,Big,큰,There is a big tree in the park.
02. 감정과 특징 (Emotions & Traits),Day 2,Patient,인내심 있는,You need to be patient with kids.
02. 감정과 특징 (Emotions & Traits),Day 2,Diligent,부지런한,He is a diligent student.
02. 감정과 특징 (Emotions & Traits),Day 2,Creative,창의적인,She has many creative ideas.
02. 감정과 특징 (Emotions & Traits),Day 3,Great,위대한,He is a great soccer player.
02. 감정과 특징 (Emotions & Traits),Day 3,Good,좋은,Have a good time at the party.
02. 감정과 특징 (Emotions & Traits),Day 3,Bad,나쁜,Smoking is bad for your health.
02. 감정과 특징 (Emotions & Traits),Day 3,Fine,괜찮은,"I'm fine, thank you."
02. 감정과 특징 (Emotions & Traits),Day 3,Pretty,예쁜,The flowers are very pretty.
02. 감정과 특징 (Emotions & Traits),Day 3,Beautiful,아름다운,What a beautiful sunset!
02. 감정과 특징 (Emotions & Traits),Day 3,Handsome,잘생긴,My brother is very handsome.
02. 감정과 특징 (Emotions & Traits),Day 3,Imagine,상상하다,Can you imagine living on Mars?
02. 감정과 특징 (Emotions & Traits),Day 3,Curious,호기심 많은,Children are curious about everything.
02. 감정과 특징 (Emotions & Traits),Day 3,Memory,기억,I have a good memory for faces.
02. 감정과 특징 (Emotions & Traits),Day 4,Surprise,놀라게하다,I want to surprise my mom today.
02. 감정과 특징 (Emotions & Traits),Day 4,Proud,자랑스러운,My parents are proud of me.
